期別           中信              兆豐              國泰              富邦              玉山       
2020H1        ✅3/3        ⚠️1/3(T,A缺)       N/A(掃描檔)       ⚠️2/3(T缺)        N/A(掃描檔)    
2020H2        ✅3/3         ⚠️2/3(A缺)          ✅3/3            ✅3/3            ✅3/3      
2021H1        ✅3/3        ⚠️1/3(T,A缺)         ✅3/3            ✅3/3            ✅3/3      
2021H2        ✅3/3            ✅3/3         ⚠️2/3(O缺)          ✅3/3            ✅3/3      
2022H1        ✅3/3         ⚠️2/3(T缺)          ✅3/3            ✅3/3            ✅3/3      
2022H2        ✅3/3         ⚠️2/3(A缺)          ✅3/3            ✅3/3            ✅3/3      
2023H1        ✅3/3        ⚠️1/3(T,A缺)         ✅3/3            ✅3/3            ✅3/3      
2023H2        ✅3/3            ✅3/3            ✅3/3            ✅3/3            ✅3/3      
2024H1        ✅3/3         ⚠️2/3(T缺)          ✅3/3            ✅3/3            ✅3/3      
2024H2        ✅3/3            ✅3/3            ✅3/3            ✅3/3            ✅3/3      
2025H1        ✅3/3         ⚠️2/3(T缺)          ✅3/3            ✅3/3            ✅3/3      
2025H2        ✅3/3            ✅3/3            ✅3/3            ✅3/3            ✅3/3      
